Objects
100
,,Global Angle BOLT_2:BOLT_2,,,,,,Global Angle rvr5:rvr5,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
155,0,0.003391,0.037924,1.012435,101.319359,1079.414795,181.090988,0.014056,0.005298,0.505448,329.589325,869.336243,151.154617
156,0,0.003859,0.038374,1.012547,101.325920,1079.407349,181.096909,0.014278,0.005325,0.505355,329.590027,869.333008,151.160751
157,0,0.003736,0.038379,1.012665,101.316757,1079.412842,181.095062,0.014187,0.005416,0.505427,329.585846,869.338562,151.155304
158,0,0.003421,0.038251,1.012239,101.320244,1079.404663,181.095383,0.014138,0.005402,0.505391,329.590729,869.333801,151.157181
159,0,0.003710,0.038435,1.012731,101.315796,1079.414917,181.092255,0.014219,0.005333,0.505430,329.588104,869.336487,151.159119
160,0,0.003479,0.038286,1.012609,101.310349,1079.412720,181.091385,0.014194,0.005424,0.505361,329.591461,869.335510,151.154587
161,0,0.003841,0.038092,1.012523,101.311852,1079.414429,181.083649,0.014219,0.005319,0.505429,329.589600,869.338562,151.158859
162,0,0.004042,0.037622,1.012313,101.322487,1079.403320,181.096313,0.014316,0.005500,0.505367,329.598175,869.331116,151.165771
163,0,0.003295,0.037802,1.012617,101.318604,1079.409790,181.099670,0.014376,0.005286,0.505367,329.589508,869.331848,151.161011
164,0,0.003388,0.037788,1.012725,101.315781,1079.417236,181.086777,0.014044,0.005322,0.505375,329.585449,869.339172,151.148621
165,0,0.003251,0.038243,1.012839,101.318649,1079.409302,181.092896,0.014304,0.005317,0.505306,329.594147,869.338623,151.160873
166,0,0.003262,0.038035,1.012494,101.325005,1079.404419,181.109207,0.014315,0.005369,0.505369,329.597412,869.334045,151.168106
167,0,0.004100,0.038291,1.012389,101.317383,1079.411743,181.092606,0.014255,0.005235,0.505406,329.591736,869.334290,151.160843
168,0,0.003465,0.037924,1.012604,101.315811,1079.411377,181.094193,0.014275,0.005387,0.505401,329.592133,869.339661,151.157562
169,0,0.004103,0.038104,1.012608,101.320564,1079.412964,181.096237,0.014296,0.005391,0.505351,329.587433,869.339417,151.158905
170,0,0.003535,0.038067,1.012694,101.319557,1079.411011,181.096527,0.014461,0.005424,0.505357,329.590027,869.333801,151.159775
171,0,0.003539,0.038286,1.012571,101.316948,1079.402710,181.094330,0.014279,0.005395,0.505428,329.592926,869.338379,151.165421
172,0,0.004170,0.038384,1.012771,101.321953,1079.407593,181.107056,0.014393,0.005424,0.505372,329.583923,869.336975,151.158340
173,0,0.003414,0.037944,1.012517,101.313164,1079.410034,181.091537,0.014245,0.005316,0.505345,329.588623,869.340332,151.154755
174,0,0.003298,0.038059,1.012417,101.316528,1079.406006,181.090897,0.014346,0.005327,0.505369,329.589020,869.337952,151.158569
175,0,0.003542,0.037735,1.012413,101.315697,1079.407227,181.098434,0.014344,0.005386,0.505354,329.587769,869.338745,151.168655
176,0,0.004136,0.038183,1.012151,101.320763,1079.407349,181.095932,0.014364,0.005374,0.505364,329.588165,869.337158,151.164856
177,0,0.003627,0.038318,1.012674,101.314827,1079.411499,181.088120,0.014216,0.005455,0.505410,329.591705,869.338440,151.155563
178,0,0.004116,0.038120,1.012769,101.317802,1079.406982,181.103607,0.014407,0.005540,0.505425,329.589203,869.339966,151.163422
179,0,0.003452,0.037766,1.012469,101.316544,1079.405273,181.097855,0.014228,0.005377,0.505383,329.591949,869.341858,151.166916
180,0,0.003131,0.038094,1.012560,101.318008,1079.415894,181.095200,0.014383,0.005285,0.505315,329.591003,869.339172,151.161987
181,0,0.003319,0.037788,1.012850,101.306160,1079.406128,181.094086,0.014236,0.005339,0.505400,329.584778,869.340942,151.164093
182,0,0.003585,0.037958,1.012569,101.320091,1079.404785,181.102539,0.014192,0.005477,0.505374,329.587463,869.339966,151.162613
183,0,0.003599,0.038195,1.012560,101.316795,1079.412476,181.095734,0.014257,0.005356,0.505377,329.594604,869.335876,151.166397
184,0,0.003738,0.038188,1.012556,101.318108,1079.414185,181.104279,0.014315,0.005522,0.505367,329.587463,869.339844,151.156738
185,0,0.003804,0.038480,1.012744,101.320717,1079.418457,181.105576,0.014287,0.005473,0.505371,329.590088,869.338562,151.159775
186,0,0.003906,0.037730,1.012625,101.323448,1079.410156,181.099609,0.014302,0.005454,0.505384,329.593903,869.338440,151.163086
187,0,0.003744,0.038091,1.012507,101.309242,1079.415771,181.098312,0.014230,0.005399,0.505387,329.587616,869.342773,151.160843
188,0,0.003535,0.037944,1.012379,101.314369,1079.414185,181.102692,0.014265,0.005381,0.505280,329.580994,869.342712,151.158020
189,0,0.004324,0.038333,1.012492,101.314301,1079.408203,181.100357,0.014278,0.005380,0.505356,329.588379,869.339294,151.162766
190,0,0.003704,0.038307,1.012812,101.314781,1079.414795,181.104019,0.014365,0.005381,0.505459,329.587555,869.338562,151.166321
191,0,0.004390,0.038111,1.012369,101.313225,1079.415771,181.109573,0.014370,0.005491,0.505324,329.584564,869.341980,151.166504
192,0,0.002806,0.038081,1.012768,101.317108,1079.414185,181.099945,0.014396,0.005512,0.505344,329.592743,869.340637,151.163803
193,0,0.003496,0.038182,1.012648,101.315239,1079.411377,181.101730,0.014361,0.005538,0.505359,329.587128,869.344116,151.162186
194,0,0.002980,0.038010,1.012663,101.306168,1079.413818,181.111252,0.014098,0.005367,0.505398,329.587738,869.343079,151.167221
195,0,0.003526,0.037881,1.012460,101.314507,1079.407227,181.098083,0.014114,0.005372,0.505434,329.590179,869.340027,151.167389
196,0,0.003894,0.037787,1.012304,101.312553,1079.410767,181.092819,0.014234,0.005467,0.505412,329.587250,869.346680,151.163406
197,0,0.003115,0.038545,1.012988,101.311790,1079.417114,181.109009,0.014345,0.005361,0.505405,329.579285,869.348572,151.159592
198,0,0.003716,0.038122,1.012679,101.326447,1079.410156,181.104309,0.014220,0.005395,0.505343,329.591888,869.340332,151.176361
199,0,0.003941,0.038298,1.012619,101.326996,1079.410889,181.107208,0.014246,0.005428,0.505355,329.592316,869.340454,151.166321
200,0,0.003295,0.038023,1.012743,101.317924,1079.408691,181.101608,0.014255,0.005338,0.505408,329.585602,869.340027,151.168564
201,0,0.004003,0.037598,1.012637,101.316185,1079.421021,181.104279,0.014363,0.005414,0.505376,329.591278,869.343262,151.168091
202,0,0.003501,0.038263,1.012706,101.319473,1079.413940,181.100540,0.014258,0.005308,0.505294,329.590485,869.342896,151.165329
203,0,0.003629,0.037981,1.012663,101.322044,1079.412842,181.105698,0.014195,0.005281,0.505391,329.589600,869.339417,151.170258
204,0,0.003528,0.038229,1.012878,101.320892,1079.415771,181.103943,0.014469,0.005316,0.505371,329.587555,869.341370,151.172134
